id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	38	37	1	38	0	0
2	0	376	376	776	392	8	400	0	0
4	0	935	935	986	29	22	51	0	0
3	0	849	849	1044	132	52	195	11	0
5	0	1554	1554	1604	50	0	50	0	0
7	0	1888	1888	1894	6	0	6	0	0
6	0	1721	1721	1899	172	0	178	6	0
9	0	1953	1953	1984	31	0	31	0	0
10	0	2036	2036	2046	10	0	10	0	0
8	0	1935	1935	2263	244	43	328	41	0
13	0	2455	2455	2517	39	16	62	7	0
11	0	2326	2326	2616	187	82	290	21	0
12	0	2427	2427	2665	65	18	238	155	0
14	0	2521	2521	2738	98	14	217	105	0
15	0	2709	2709	2785	68	0	76	8	0
16	0	2730	2785	2817	32	0	87	55	55
17	0	2861	2861	3133	209	31	272	32	0
18	0	3021	3021	3159	58	4	138	76	0
19	0	3057	3159	3216	57	0	159	102	102
20	0	3227	3227	3351	124	0	124	0	0
0	0	0	0	3351	1311	0	3351	2040	0
