id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	2	2	0	2	0	0
2	0	103	103	182	76	3	79	0	0
3	0	165	182	188	6	0	23	17	17
4	0	195	195	355	105	55	160	0	0
5	0	407	407	485	62	16	78	0	0
6	0	631	631	722	91	0	91	0	0
7	0	805	805	879	68	6	74	0	0
8	0	872	879	895	16	0	23	7	7
9	0	873	895	974	49	30	101	22	22
10	0	1044	1044	1112	61	7	68	0	0
11	0	1217	1217	1326	44	12	109	53	0
12	0	1236	1238	1382	93	3	146	50	2
14	0	1322	1326	1410	56	6	88	26	4
16	0	1475	1481	1496	15	0	21	6	6
15	0	1447	1517	1631	59	8	184	117	70
13	0	1255	1410	1707	223	17	452	212	155
17	0	1649	1707	1751	37	7	102	58	58
18	0	2019	2019	2077	56	2	58	0	0
19	0	2223	2223	2292	40	29	69	0	0
20	0	2319	2319	2388	69	0	69	0	0
0	0	0	0	2388	1160	0	2388	1228	0
